Record ID,timestamp,intersection_id,intersection_name,latitude,longitude,vehicle_count,average_speed,signal_cycle_time,green_time,yellow_time,red_time,weather_condition,day_of_week,is_holiday,event,pollution_level,car_count,bus_count,truck_count,motorcycle_count,Hour of the day
3,1/1/2023 0:00,3,Chowk,25.4314,81.8437,65,38.61,120,58,5,57,Clear,Sunday,1,,1.05,41,3,6,15,0
5,1/1/2023 0:00,5,Naini Bridge,25.4088,81.8592,30,49.09,120,59,3,58,Clear,Sunday,1,,0.44,20,0,4,6,0
10,1/1/2023 0:00,10,Minto Park,25.4352,81.882,77,39.83,120,60,5,55,Clear,Sunday,1,,1.44,46,6,8,17,0
11,1/1/2023 0:10,1,Civil Lines,25.4486,81.8333,85,31.03,120,54,4,62,Clear,Sunday,1,New Year Celebration,1.73,50,8,10,17,0
12,1/1/2023 0:10,2,Katra,25.455,81.8463,47,42.64,120,58,4,58,Clear,Sunday,1,New Year Celebration,0.93,25,2,9,11,0
17,1/1/2023 0:10,7,Phaphamau,25.4945,81.8686,47,42.19,120,58,5,57,Clear,Sunday,1,,1.05,26,5,7,9,0
19,1/1/2023 0:10,9,MNNIT Gate,25.492,81.8639,36,46.53,120,60,5,55,Clear,Sunday,1,,0.78,26,4,4,2,0
20,1/1/2023 0:10,10,Minto Park,25.4352,81.882,57,38.87,120,56,3,61,Clear,Sunday,1,,1.17,39,7,4,7,0
21,1/1/2023 0:20,1,Civil Lines,25.4486,81.8333,48,43.89,120,55,5,60,Clear,Sunday,1,New Year Celebration,0.94,33,3,7,5,0
23,1/1/2023 0:20,3,Chowk,25.4314,81.8437,19,55.14,120,57,2,61,Clear,Sunday,1,,0.37,12,1,3,3,0
24,1/1/2023 0:20,4,Tagore Town,25.4675,81.8867,48,44.66,120,58,5,57,Clear,Sunday,1,,0.97,26,3,8,11,0
25,1/1/2023 0:20,5,Naini Bridge,25.4088,81.8592,45,44.73,120,63,5,52,Clear,Sunday,1,,0.86,25,10,6,11,0
27,1/1/2023 0:20,7,Phaphamau,25.4945,81.8686,47,43.94,120,57,4,59,Clear,Sunday,1,,0.97,26,5,5,11,0
28,1/1/2023 0:20,8,Jhunsi,25.4326,81.9061,54,40.23,120,58,4,58,Clear,Sunday,1,,1.15,35,6,6,7,0
29,1/1/2023 0:20,9,MNNIT Gate,25.492,81.8639,44,45.19,120,59,4,57,Clear,Sunday,1,,1.06,23,5,8,8,0
30,1/1/2023 0:20,10,Minto Park,25.4352,81.882,69,42.69,120,54,5,61,Clear,Sunday,1,,1.49,36,8,8,17,0
31,1/1/2023 0:30,1,Civil Lines,25.4486,81.8333,126,31.56,120,61,5,54,Clear,Sunday,1,New Year Celebration,2.94,69,17,16,24,0
33,1/1/2023 0:30,3,Chowk,25.4314,81.8437,58,40.57,120,67,7,46,Clear,Sunday,1,,1.58,31,12,6,9,0
37,1/1/2023 0:30,7,Phaphamau,25.4945,81.8686,49,43.94,120,62,4,54,Clear,Sunday,1,,0.87,28,2,7,12,0
41,1/1/2023 0:40,1,Civil Lines,25.4486,81.8333,64,38.84,120,60,7,53,Light Rain,Sunday,1,New Year Celebration,1.24,38,8,3,15,0
42,1/1/2023 0:40,2,Katra,25.455,81.8463,62,36.57,120,64,5,51,Light Rain,Sunday,1,New Year Celebration,1.15,38,5,6,13,0
43,1/1/2023 0:40,3,Chowk,25.4314,81.8437,44,41.34,120,58,5,57,Light Rain,Sunday,1,,0.76,28,4,2,10,0
47,1/1/2023 0:40,7,Phaphamau,25.4945,81.8686,72,36.89,120,58,5,60,Light Rain,Sunday,1,,1.15,51,4,5,12,0
54,1/1/2023 0:50,4,Tagore Town,25.4675,81.8867,50,43.34,120,62,6,52,Clear,Sunday,1,,0.96,32,5,4,9,0
55,1/1/2023 0:50,5,Naini Bridge,25.4088,81.8592,53,38.5,120,70,3,47,Clear,Sunday,1,,1.1,33,6,5,9,0
56,1/1/2023 0:50,6,Allahabad Junction,25.4358,81.8307,61,39.66,120,70,5,45,Clear,Sunday,1,,0.96,43,2,6,10,0
58,1/1/2023 0:50,8,Jhunsi,25.4326,81.9061,74,37.61,120,59,5,56,Clear,Sunday,1,,1.62,42,8,10,14,0
61,1/1/2023 1:00,1,Civil Lines,25.4486,81.8333,90,30.82,120,59,4,57,Light Rain,Sunday,1,New Year Celebration,1.91,54,10,10,16,1
64,1/1/2023 1:00,4,Tagore Town,25.4675,81.8867,30,46.12,120,54,5,61,Light Rain,Sunday,1,,0.64,15,5,1,9,1
66,1/1/2023 1:00,6,Allahabad Junction,25.4358,81.8307,64,34.9,120,56,6,58,Light Rain,Sunday,1,,1.52,34,11,5,14,1
67,1/1/2023 1:00,7,Phaphamau,25.4945,81.8686,84,32.11,120,62,5,53,Light Rain,Sunday,1,,1.83,48,11,8,17,1
68,1/1/2023 1:00,8,Jhunsi,25.4326,81.9061,59,35.21,120,57,5,58,Light Rain,Sunday,1,,1.2,32,5,8,14,1
77,1/1/2023 1:10,7,Phaphamau,25.4945,81.8686,26,49.26,120,54,4,62,Clear,Sunday,1,,0.72,16,6,2,2,1
78,1/1/2023 1:10,8,Jhunsi,25.4326,81.9061,85,36.97,120,65,4,51,Clear,Sunday,1,,1.84,47,11,8,19,1
88,1/1/2023 1:20,8,Jhunsi,25.4326,81.9061,40,47.1,120,64,4,52,Clear,Sunday,1,,0.7,22,2,5,11,1
90,1/1/2023 1:20,10,Minto Park,25.4352,81.882,19,52.53,120,61,5,53,Clear,Sunday,1,,0.39,12,10,2,3,1
91,1/1/2023 1:30,1,Civil Lines,25.4486,81.8333,106,31.31,120,56,6,58,Clear,Sunday,1,New Year Celebration,2.36,57,11,16,22,1
101,1/1/2023 1:40,1,Civil Lines,25.4486,81.8333,36,47.03,120,62,2,56,Clear,Sunday,1,New Year Celebration,0.76,22,4,4,6,1
102,1/1/2023 1:40,2,Katra,25.455,81.8463,128,30.15,120,67,5,48,Clear,Sunday,1,New Year Celebration,2.82,72,16,14,26,1
104,1/1/2023 1:40,4,Tagore Town,25.4675,81.8867,67,42.99,120,56,5,59,Clear,Sunday,1,,1.41,44,8,6,9,1
106,1/1/2023 1:40,6,Allahabad Junction,25.4358,81.8307,48,46.33,120,63,4,53,Clear,Sunday,1,,1.36,20,9,8,11,1
108,1/1/2023 1:40,8,Jhunsi,25.4326,81.9061,68,39.44,120,60,3,57,Clear,Sunday,1,,1.49,39,8,8,13,1
111,1/1/2023 1:50,1,Civil Lines,25.4486,81.8333,62,43.63,120,61,5,54,Clear,Sunday,1,New Year Celebration,1.17,37,4,8,13,1
114,1/1/2023 1:50,4,Tagore Town,25.4675,81.8867,24,48.64,120,61,4,55,Clear,Sunday,1,,0.48,15,2,3,4,1
115,1/1/2023 1:50,5,Naini Bridge,25.4088,81.8592,46,40.81,120,58,5,57,Clear,Sunday,1,,0.72,30,2,4,10,1
117,1/1/2023 1:50,7,Phaphamau,25.4945,81.8686,98,45.34,120,62,3,55,Clear,Sunday,1,,0.92,25,5,5,6,1
118,1/1/2023 1:50,8,Jhunsi,25.4326,81.9061,51,41.88,120,50,5,65,Clear,Sunday,1,,0.98,31,4,6,10,1
120,1/1/2023 1:50,10,Minto Park,25.4352,81.882,68,39.63,120,57,3,60,Clear,Sunday,1,,1.53,37,10,6,15,1
123,1/1/2023 2:00,3,Chowk,25.4314,81.8437,62,44.23,120,65,4,51,Clear,Sunday,1,,1.33,31,6,9,16,2
124,1/1/2023 2:00,4,Tagore Town,25.4675,81.8867,47,43.78,120,60,4,56,Clear,Sunday,1,,0.75,29,1,6,11,2
